ID,STAR,PERIOD,V_INTMEAN,BV_INTMEAN,EBV,V_AMPL,MV,DIST,Z,RV_MEAN,RADIUS BIN  1H?,NOTES
28,AN Aur,10.29056,10.455,1.218,0.593,0.717,-4.14,3559,-61,4.5,,
29,AO Aur,6.763006,10.86,1.06,0.453,0.957,-3.61,4107,143,,,
30,AS Aur,3.175023,,,,,-2.66,,,,,
31,AX Aur,3.04664,12.412,1.155,0.598,0.758,-2.61,4296,121,,,
32,BK Aur,8.002432,9.427,1.062,0.446,0.73,-3.82,2360,242,-41.3,,
33,CO Aur,1.78301,7.706,0.675,0.228,0.418,-1.93,611,63,12.6,,dblmode
34,CY Aur,13.84765,11.851,1.6,0.807,0.903,-4.52,5941,205,,,
35,ER Aur,15.69073,11.52,1.124,0.519,0.591,-4.67,8243,249,,,
36,EV Aur,4.87228,,,,,-3.2,,,,,
37,EW Aur,2.65956,13.513,1.149,0.634,0.745,-2.44,6274,-435,,,
38,FF Aur,2.12053,13.698,0.972,0.621,1.057,-2.15,6090,-233,,,
39,GV Aur,5.2598,12.076,1.193,0.581,0.753,-3.3,5188,385,,,
40,IN Aur,4.9111,13.814,1.455,0.948,0.579,-3.21,6562,-72,,,
41,V335 Aur,3.41325,12.461,1.137,0.658,0.943,-2.75,4308,299,,,
42,RW Cam,16.414812,8.691,1.351,0.649,0.888,-4.73,1913,127,-26.5,123.8,
43,RX Cam,7.912024,7.682,1.193,0.569,0.729,-3.81,882,72,-36.2,76.0  O C,
44,TV Cam,5.29497,11.659,1.198,0.644,0.96,-3.3,3913,419,,,
45,AB Cam,5.78764,11.849,1.235,0.689,1.03,-3.42,4233,239,,,
46,AC Cam,4.156769,12.597,1.559,0.962,0.649,-3,3334,118,,,
47,AD Cam,11.260991,12.564,1.588,0.908,1.092,-4.25,6310,365,,,
48,AM Cam,3.997197,13.504,1.541,1.034,0.616,-2.95,4464,412,,,
49,RW CMa,5.729685,11.096,1.225,0.544,0.657,-3.4,3647,-243,50,,
50,RY CMa,4.67825,8.11,0.847,0.248,0.726,-3.15,1254,6,32.9,43.1,
51,RZ CMa,4.254832,9.697,1.004,0.464,0.611,-3.03,1810,-35,24.6,,
52,SS CMa,12.361,9.915,1.212,0.549,0.982,-4.37,3286,-241,73.1,85.9  O C,
53,TV CMa,4.67001,10.582,1.175,0.583,0.766,-3.15,2426,-100,39,,
54,TW CMa,6.99507,9.561,0.97,0.357,0.635,-3.65,2635,6,66.5,57.3,
55,VV CMa,3.8627,,,,,-2.91,,,,,
56,VZ CMa,3.12623,9.383,0.957,0.484,0.455,-2.64,1272,-98,40.1,O:,
57,AO CMa,5.81542,12.603,1.316,0.738,0.77,-3.42,4357,-374,,,New period
58,BC CMa,4.1754,12.99,1.073,0.569,0.815,-3,7018,-424,,,
59,CP CMa,4.84569,13.277,1.17,0.645,0.727,-3.19,7836,-693,,,
60,DZ CMa,1.75434,,,,,-1.91,,,,,
61,U Car,38.7681,6.288,1.183,0.283,1.165,-5.81,1754,1,1.7,162.2,AssCarOB2
62,V Car,6.696672,7.362,0.872,0.174,0.601,-3.6,1215,-258,13.9,40.6,
63,Y Car,3.63976,8.084,0.585,0.178,0.795,-2.83,1182,-7,-14.5,O,dblmode IUE
64,SX Car,4.86,9.089,0.887,0.326,0.785,-3.2,1802,42,-11.4,,
65,UW Car,5.345773,9.426,0.971,0.457,0.81,-3.32,1844,-57,-14.4,,
66,UX Car,3.682246,8.308,0.627,0.123,0.78,-2.85,1430,4,8.1,26.4,
67,UY Car,5.543726,8.967,0.818,0.189,0.735,-3.36,2230,-126,4,,
68,UZ Car,5.20466,9.323,0.875,0.187,0.588,-3.28,2564,-103,-20.9,,
69,VY Car,18.913762,7.443,1.171,0.243,1.065,-4.91,2089,44,0.3,18.9  O: C,AssCarOB2
70,WW Car,4.67681,9.743,0.89,0.398,0.72,-3.15,2147,,-13,,
71,WZ Car,23.0132,9.247,1.142,0.384,1.221,-5.16,4399,-91,-14.7,110.7,
72,XX Car,15.71624,9.322,1.054,0.349,1.301,-4.67,3820,-325,-10.9,93.7,
73,XY Car,12.43483,9.295,1.214,0.417,0.898,-4.38,2995,-202,-5.6,81.6,
74,XZ Car,16.6499,8.601,1.266,0.367,1.045,-4.75,2771,-37,1.5,110.6,
75,YZ Car,18.165573,8.714,1.124,0.396,0.788,-4.86,2946,-71,1.1,97.1   O,
76,AQ Car,9.76896,8.851,0.928,0.161,0.632,-4.08,3065,-176,2.1,64.9,
77,CC Car,4.75995,12.035,1.195,0.526,0.636,-3.17,5187,-144,6.9,,
78,CF Car,5.4949,,,,,-3.35,,,-3.8,,
79,CN Car,4.93261,10.7,1.089,0.419,0.675,-3.21,3328,-75,9,,
80,CQ Car,5.318934,,,,,-3.31,,,20.6,,
81,CR Car,9.76094,11.565,1.246,0.504,0.639,-4.07,6524,-42,25.3,,
82,CS Car,6.66234,,,,,-3.59,,,10.8,,
82.1,CT Car,18.0621,12.246,1.331,0.582,1.051,-4.85,####,-553,111,,New period
83,CY Car,4.26593,9.782,0.953,0.389,0.511,-3.03,2101,-32,8.6,,
84,DY Car,4.67461,11.314,1.003,0.391,0.768,-3.15,4471,-74,-1.3,,
85,ER Car,7.71855,6.824,0.867,0.101,0.47,-3.78,1143,29,-19,,
86,ET Car,2.910837,,,,,-2.55,,,,,
87,EW Car,4.23873,,,,,-3.02,,,,,
88,EY Car,2.87598,10.318,0.854,,0.466,-2.53,2250,-82,18,O:,
89,FF Car,16.3285,,,,,-4.72,,,-14.5,,
90,FH Car,5.66439,,,,,-3.39,,,14,,
91,FI Car,13.4582,11.61,1.514,0.726,0.792,-4.48,5860,71,13.2,,
92,FK Car,23.254,,,,,-5.17,,,29.9,,
93,FM Car,7.63861,,,,,-3.77,,,39.7,,
94,FN Car,4.58569,11.542,1.101,0.581,0.708,-3.12,3734,-8,-13,,
95,FO Car,10.3568,10.731,1.22,0.461,0.6,-4.15,4902,-179,-10.8,,
96,FQ Car,10.27399,11.818,1.497,0.868,0.838,-4.14,4502,-28,-3.1,,
97,FR Car,10.71697,9.661,1.121,0.351,0.704,-4.19,3569,36,-7.3,71.2   O:,
98,FZ Car,3.57792,11.968,1.2,0.654,0.355,-3.26,4363,24,-1.6,s,
99,GH Car,5.72557,9.177,0.932,0.414,0.307,-3.86,2245,-10,,s,
100,GI Car,4.43061,8.323,0.739,0.175,0.338,-3.53,1831,81,-20.6,32.7        s,
101,GS Car,4.05515,,,,,-2.97,,,32.1,,
102,GT Car,13.162,,,,,-4.45,,,11.7,1,
103,GX Car,7.19673,9.364,1.043,0.405,0.853,-3.69,2289,-122,,,
104,GZ Car,4.15901,10.261,0.979,0.419,0.513,-3,2468,-84,-8.5,,dblmode
105,HK Car,6.69574,,,,,-3.6,,,8,,
106,HS Car,5.09209,,,,,-3.25,,,5.9,0,
107,HW Car,9.2002,9.163,1.055,0.193,0.366,-4,3258,-128,,,
108,II Car,64.24,,,,,-6.45,,,28.1,,
109,IK Car,5.10179,,,,,-3.26,,,,,
110,IM Car,5.33625,,,,,-3.31,,,3.8,,
111,IO Car,12.69,11.101,1.221,0.527,0.386,-4.49,5953,-98,39.3,,new period
112,IP Car,7.1225,,,,,-3.68,,,,,
113,IT Car,7.5332,8.097,0.99,0.193,0.338,-3.75,1777,-34,-14.9,,
