ID,STAR,RA h,RA m,RA s,Dec d,Dec m,l,b
54,TW CMa,7,19,45,-14,12,229.12,0.12
55,VV CMa,7,4,25,-14,25,227.56,-3.26
56,VZ CMa,7,24,25,-25,49,239.86,-4.44
57,AO CMa,7,22,38,-26,5,239.91,-4.92
58,BC CMa,7,18,58,-21,25,235.38,-3.46
59,CP CMa,7,12,46,-22,8,235.35,-5.07
60,DZ CMa,7,14,36,-15,14,229.43,-1.46
61,U Car,10,55,45.57,-59,27,289.06,0.04
62,V Car,8,27,42.53,-59,57,275.25,-12.28
63,Y Car,10,31,17.72,-58,14,285.69,-0.33
64,SX Car,10,44,7,-57,17,286.73,1.33
65,UW Car,10,25,2.3,-59,24,285.59,-1.76
66,UX Car,10,27,18,-57,21,284.78,0.16
67,UY Car,10,30,17,-61,31,287.23,-3.24
68,UZ Car,10,34,28,-60,45,287.29,-2.31
69,VY Car,10,42,33.28,-57,18,286.55,1.21
70,WW Car,10,49,36,-59,7,288.2,0.01
71,WZ Car,10,53,19,-60,40,289.3,-1.18
72,XX Car,10,55,15,-64,52,291.29,-4.88
73,XY Car,11,0,17,-63,59,291.42,-3.86
74,XZ Car,11,2,10,-60,42,290.3,-0.77
75,YZ Car,10,26,27,-59,5,285.58,-1.39
76,AQ Car,10,19,41,-60,49,285.77,-3.3
77,CC Car,10,52,29,-61,4,289.38,-1.59
78,CF Car,10,57,4,-60,0,289.44,-0.39
79,CN Car,10,13,48,-57,55,283.56,-1.29
80,CQ Car,10,29,30,-59,43,286.24,-1.73
81,CR Car,10,31,2,-58,15,285.67,-0.37
82,CS Car,10,32,43,-57,45,285.61,0.17
82.1,CT Car,10,35,6,-61,19,287.63,-2.77
83,CY Car,10,55,51,-60,28,289.49,-0.87
84,DY Car,10,50,36,-60,15,288.8,-0.95
85,ER Car,11,7,31.99,-58,33,290.09,1.47
86,ET Car,10,9,47,-61,14,285.01,-4.32
87,EW Car,10,19,8,-61,0,285.82,-3.49
88,EY Car,10,40,31,-60,54,288.01,-2.09
89,FF Car,10,42,56,-58,2,286.93,0.59
90,FH Car,10,46,27,-60,23,288.41,-1.3
91,FI Car,10,49,1,-58,19,287.78,0.69
92,FK Car,10,51,57,-59,41,288.72,-0.37
93,FM Car,10,58,24,-60,43,289.88,-0.96
94,FN Car,10,59,11,-59,50,289.61,-0.12
95,FO Car,10,59,29,-62,1,290.53,-2.09
96,FQ Car,11,8,7,-60,34,290.92,-0.36
97,FR Car,11,12,10,-59,46,291.09,0.57
98,FZ Car,10,52,0,-58,56,288.4,0.32
99,GH Car,11,8,37,-60,28,290.94,-0.25
100,GI Car,11,11,48.02,-57,38,290.26,2.54
101,GS Car,10,49,57,-61,12,289.16,-1.83
102,GT Car,10,57,22,-59,12,289.14,0.36
103,GX Car,9,53,49,-58,11,281.57,-3.06
104,GZ Car,10,18,35,-59,7,285.74,-1.95
105,HK Car,11,1,42,-60,22,290.11,-0.48
106,HS Car,10,22,47,-59,17,285.28,-1.8
107,HW Car,10,37,29,-60,53,287.67,-2.25
108,II Car,10,46,50,-59,47,288.19,-0.75
109,IK Car,10,47,7,-63,54,290.07,-4.4
110,IM Car,10,53,10,-60,16,289.11,-0.84
111,IO Car,10,54,27,-60,28,298.34,-0.94
112,IP Car,10,59,31,-64,1,291.35,-3.92
113,IT Car,11,10,2.66,-61,28,291.47,-1.11
113.5,V397 Car,9,58,47,-66,2,286.86,-8.91
114,l Car,9,43,52.35,-62,16,283.2,-7
